SrNo,State,Name,TIN,StateCode
1,Andaman and Nicobar Islands,35,AN,0
2,Andhra Pradesh,28,AP,0
3,Andhra Pradesh New,37,AD,0
4,Arunachal Pradesh,12,AR,0
5,Assam,18,AS,0
6,Bihar,10,BH,0
7,Chandigarh,4,CH,0
8,Chattisgarh,22,CT,0
9,Dadra and Nagar Haveli,26,DN,0
10,Daman and Diu,25,DD,0
11,Delhi,7,DL,0
12,Goa,30,GA,0
13,Gujarat,24,GJ,0
14,Haryana,6,HR,0
15,Himachal Pradesh,2,HP,0
16,Jammu and Kashmir,1,JK,0
17,Jharkhand,20,JH,0
18,Karnataka,29,KA,0
19,Kerala,32,KL,0
20,Lakshadweep Islands,31,LD,0
21,Madhya Pradesh,23,MP,0
22,Maharashtra,27,MH,0
23,Manipur,14,MN,0
24,Meghalaya,17,ME,0
25,Mizoram,15,MI,0
26,Nagaland,13,NL,0
27,Odisha,21,OR,0
28,Pondicherry,34,PY,0
29,Punjab,3,PB,0
30,Rajasthan,8,RJ,0
31,Sikkim,11,SK,0
32,Tamil Nadu,33,TN,0
33,Telangana,36,TS,0
34,Tripura,16,TR,0
35,Uttar Pradesh,9,UP,0
36,Uttarakhand,5,UT,0
37,West Bengal,19,WB,0
